"","tournament","prize","surface","round","p1_rank","p2_rank","p1_rank_move","p2_rank_move","p1_age","p2_age","p1_height","p2_height","p1_weight","p2_weight","p1_hand","p2_hand","p1_nat","p2_nat","no_sets","best_of"
"77","Melbourne1",0.00396465790666062,"Carpet","Roundof16",0.0612980769230769,0.0472289156626506,0.482575757575758,0.412738214643932,0.473684210526316,0.894736842105263,0.342857142857143,0.766666666666667,0.342857142857143,0.571428571428571,"Left","Right","USA","Oceania","X2","3"
"78","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.00961538461538462,0.0674698795180723,0.429545454545455,0.421263791374122,0.526315789473684,0.368421052631579,0.285714285714286,0.566666666666667,0.142857142857143,0.485714285714286,"Right","Left","USA","USA","X2","3"
"79","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.00360576923076923,0.0645783132530121,0.437878787878788,0.445336008024072,0.157894736842105,0.368421052631579,0.428571428571429,0.566666666666667,0.6,0.485714285714286,"Right","Left","Oceania","USA","X2","3"
"80","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0612980769230769,0.0125301204819277,0.482575757575758,0.413741223671013,0.473684210526316,0.736842105263158,0.342857142857143,0.333333333333333,0.342857142857143,0.314285714285714,"Left","Right","USA","Oceania","X2","3"
"81","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0228365384615385,0.203373493975904,0.434848484848485,0.354062186559679,0.473684210526316,0.263157894736842,0.571428571428571,0.766666666666667,0.6,0.428571428571429,"Right","Right","USA","Africa","X3","3"
"82","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0649038461538462,0.0178313253012048,0.441666666666667,0.407723169508526,0.157894736842105,0.736842105263158,0.142857142857143,0.933333333333333,0.342857142857143,0.628571428571429,"Right","Right","Oceania","USA","X3","3"
"83","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0360576923076923,0.15855421686747,0.424242424242424,0.465897693079238,0.263157894736842,0.473684210526316,0.342857142857143,0.5,0.371428571428571,0.428571428571429,"Right","Left","Oceania","USA","X2","3"
"84","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0558894230769231,0.108433734939759,0.425757575757576,0.393179538615848,0.526315789473684,0.526315789473684,0.857142857142857,0.5,0.914285714285714,0.485714285714286,"Right","Right","USA","USA","X3","3"
"85","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0522836538461538,0.16578313253012,0.413636363636364,0.573219658976931,0.526315789473684,0.157894736842105,0.485714285714286,0.566666666666667,0.457142857142857,0.628571428571429,"Left","Right","Oceania","Oceania","X2","3"
"86","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0588942307692308,0.083855421686747,0.435606060606061,0.384152457372116,0.894736842105263,0.473684210526316,0.657142857142857,0.4,0.542857142857143,0.6,"Right","Left","Oceania","Oceania","X3","3"
"87","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0673076923076923,0.109879518072289,0.427272727272727,0.414242728184554,0.526315789473684,0.157894736842105,0.657142857142857,0.566666666666667,0.542857142857143,0.485714285714286,"Right","Right","USA","USA","X2","3"
"88","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.15625,0.0857831325301205,0.416666666666667,0.437813440320963,0.842105263157895,0.315789473684211,0.342857142857143,0.766666666666667,0.771428571428571,0.571428571428571,"Right","Right","Oceania","WEurope","X2","3"
"89","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0733173076923077,0.131084337349398,0.407575757575758,0.42728184553661,0.473684210526316,0.526315789473684,0.142857142857143,0.666666666666667,0.0857142857142857,0.6,"Right","Right","USA","Oceania","X2","3"
"90","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0396634615384615,0.0756626506024096,0.432575757575758,0.421263791374122,0.315789473684211,0.368421052631579,0.571428571428571,0.166666666666667,0.542857142857143,0.228571428571429,"Right","Right","Oceania","USA","X2","3"
"91","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.0745192307692308,0.113734939759036,0.439393939393939,0.397191574724172,0.631578947368421,0.421052631578947,0.342857142857143,0.233333333333333,0.285714285714286,0.171428571428571,"Right","Right","USA","Oceania","X2","3"
"92","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.078125,0.0612048192771084,0.443181818181818,0.409227683049147,0.368421052631579,0.157894736842105,0.714285714285714,0.566666666666667,0.457142857142857,0.428571428571429,"Right","Right","USA","Oceania","X2","3"
"93","Melbourne1",0.00396465790666062,"Carpet","Roundof32",0.141826923076923,0.043855421686747,0.403030303030303,0.409729187562688,0.894736842105263,0.789473684210526,0.428571428571429,0.666666666666667,0.4,0.485714285714286,"Right","Right","Oceania","Oceania","X3","3"
"94","AustralianOpen",0.0280869084809895,"Grass","Finals",0.00180288461538462,0.00963855421686747,0.432575757575758,0.415747241725176,0.210526315789474,0.578947368421053,0.428571428571429,0.566666666666667,0.4,0.428571428571429,"Right","Right","NEurope","USA","X4","5"
"95","AustralianOpen",0.0280869084809895,"Grass","SemiFinals",0.00180288461538462,0.00530120481927711,0.432575757575758,0.407723169508526,0.210526315789474,0.578947368421053,0.428571428571429,0.233333333333333,0.4,0.4,"Right","Right","NEurope","USA","X3","5"
"96","AustralianOpen",0.0280869084809895,"Grass","SemiFinals",0.0120192307692308,0.0173493975903614,0.440151515151515,0.425275827482447,0.578947368421053,0.368421052631579,0.485714285714286,0.566666666666667,0.4,0.571428571428571,"Right","Left","USA","USA","X5","5"
"97","AustralianOpen",0.0280869084809895,"Grass","QuarterFinals",0.00180288461538462,0.0091566265060241,0.432575757575758,0.41123370110331,0.210526315789474,0.157894736842105,0.428571428571429,0.666666666666667,0.4,0.428571428571429,"Right","Right","NEurope","NEurope","X4","5"
"98","AustralianOpen",0.0280869084809895,"Grass","QuarterFinals",0.00661057692307692,0.00433734939759036,0.428030303030303,0.408726178535607,0.578947368421053,0.210526315789474,0.2,0.5,0.371428571428571,0.628571428571429,"Right","Right","USA","Oceania","X3","5"
"99","AustralianOpen",0.0280869084809895,"Grass","QuarterFinals",0.0120192307692308,0.0236144578313253,0.440151515151515,0.398696088264794,0.578947368421053,0.315789473684211,0.485714285714286,0.666666666666667,0.4,0.428571428571429,"Right","Right","USA","USA","X3","5"
"100","AustralianOpen",0.0280869084809895,"Grass","QuarterFinals",0.0216346153846154,0.0607228915662651,0.454545454545455,0.453861584754263,0.368421052631579,0.0526315789473684,0.485714285714286,0.766666666666667,0.542857142857143,0.657142857142857,"Left","Right","USA","WEurope","X3","5"
"101","AustralianOpen",0.0280869084809895,"Grass","Roundof16",0.0120192307692308,0.000963855421686747,0.440151515151515,0.410230692076229,0.578947368421053,0.473684210526316,0.485714285714286,0.666666666666667,0.4,0.485714285714286,"Right","Right","USA","USA","X3","5"
"102","AustralianOpen",0.0280869084809895,"Grass","Roundof16",0.00180288461538462,0.0568674698795181,0.432575757575758,0.399197592778335,0.210526315789474,0.473684210526316,0.428571428571429,0.233333333333333,0.4,0.314285714285714,"Right","Right","NEurope","NEurope","X5","5"
